time,open,high,low,close,volume,EMA20,EMA50,RSI14,MACD,MACD_signal,MACD_hist,ADX,ATR,BB_upper,BB_middle,BB_lower,target
1783375200000,64489.97,64500.0,64151.01,64244.0,313.47871,63370.54148949744,63041.10736505145,64.1475409489903,299.84917906128976,126.84816931118742,173.00100975010236,22.990226931882084,563.9357142857147,64658.02725313829,63152.62849999999,61647.229746861696,0
1783378800000,64244.0,64340.76,64017.78,64042.02,347.9123,63434.49182383101,63080.35884093179,64.65624208525679,314.3387006619887,164.3462755813477,149.992425080641,24.815187428673106,566.7807142857148,64746.51848564105,63190.02949999999,61633.54051435893,1
1783382400000,64042.93,64314.0,63997.5,64203.99,545.80462,63507.777364418536,63124.42280795408,64.69141157384666,335.02936629601754,198.48289372428167,136.54647257173588,26.145283639945593,563.2992857142864,64858.12583497098,63236.82949999999,61615.533165029,0
1783386000000,64203.99,64204.0,63767.04,63840.0,600.7847,63539.4176154263,63152.48465862255,64.33888212207337,318.3857639717244,222.46346777377022,95.92229619795415,27.317306874136992,557.6414285714293,64915.22266637441,63273.129499999995,61631.03633362558,0
1783389600000,63840.0,63908.0,63288.01,63322.01,624.33941,63518.71212824284,63159.13271122559,67.35619155568145,260.39643720515596,230.0500616600474,30.34637554510857,25.029028145268693,543.3707142857145,64926.62259971752,63290.42999999999,61654.237400282465,0
1783393200000,63322.01,63414.0,63150.0,63191.01,378.30046,63487.50240174353,63160.382800981446,65.35201298252882,201.5455807674589,224.3491654815297,-22.80358471407081,22.889114182668013,510.28785714285704,64929.70415766406,63295.5095,61661.31484233594,0
1783396800000,63191.01,63288.33,63064.0,63100.01,658.55856,63450.59836348223,63158.015240158646,61.79891153827967,145.88128491722455,208.65558936866867,-62.774304451444124,21.71259588306742,476.3921428571427,64931.95216751163,63305.309499999996,61678.666832488365,1
1783400400000,63100.0,63278.99,62800.0,63128.01,725.48406,63419.87566219821,63156.838564073994,42.97564828664101,102.84081056257128,187.4926336074492,-84.65182304487791,21.17105894665035,403.605714285714,64929.70490247214,63328.4715,61727.23809752786,1
1783404000000,63128.0,63400.0,62984.42,63340.0,869.08707,63412.26845627457,63164.021365482855,43.46910486751615,84.85854933811788,166.96581675358294,-82.10726741546506,22.080347214520174,399.2192857142857,64937.770709797784,63354.3685,61770.96629020221,0
1783407600000,63340.01,63445.7,63072.1,63083.18,615.24857,63380.92669853414,63160.85111585608,41.902534914496485,49.31576861425856,143.43580712571807,-94.12003851145951,22.97248518901616,396.90499999999986,64920.344344677425,63384.3355,61848.32665532258,1
1783411200000,63083.19,63184.0,62984.58,63104.0,444.0167,63354.55272724517,63158.62166033231,40.20865287988574,22.56771227945137,119.26218815646473,-96.69447587701336,24.06480258337252,387.86357142857116,64792.39954474733,63451.835,62111.27045525267,1
1783414800000,63104.0,63348.73,63063.28,63256.0,320.22634,63345.16675322183,63162.44041875065,42.30430622009576,13.479432105123124,98.10563694619641,-84.62620484107329,24.160449843284418,391.4307142857142,64614.86154462384,63526.2245,62437.58745537615,1
1783418400000,63256.01,63467.15,63228.17,63284.0,496.91971,63339.34134815308,63167.20746115259,41.15021213462091,8.438991146824264,80.172307786322,-71.73331663949773,23.889700701619738,386.84071428571457,64438.68339149915,63587.8245,62736.965608500854,1
1783422000000,63284.0,63452.0,63116.02,63406.0,399.36572,63345.689791186116,63176.57187444072,28.607403080274977,14.125950610876316,66.96303635123286,-52.83708574035654,25.82969905979605,347.2678571428577,64435.42833413192,63580.82549999999,62726.22266586807,1
